           1     1.81772     1.81772           0
           2     1.75807      1.7879   0.0210888
           3     1.81305     1.79628    0.015637
           4     1.77902     1.79196   0.0123086
           5     1.82405     1.79838   0.0113973
           6     1.81492     1.80114   0.0098256
           7     1.78642     1.79904  0.00864386
           8     1.79887     1.79901  0.00756341
           9     1.78386     1.79733  0.00690794
          10      1.7865     1.79625  0.00630156
          11     1.85815     1.80188  0.00784924
          12     1.80062     1.80177  0.00719584
          13     1.80645     1.80213  0.00665129
          14     1.82986     1.80411  0.00646438
          15     1.83991      1.8065  0.00645897
          16     1.78941     1.80543  0.00614289
          17     1.81048     1.80573  0.00578872
          18     1.81743     1.80638  0.00550349
          19     1.81786     1.80698  0.00524691
          20      1.8202     1.80764  0.00502604
          21     1.80613     1.80757  0.00478721
          22     1.80149     1.80729  0.00457757
          23     1.77886     1.80606  0.00454245
          24     1.79059     1.80541  0.00439864
          25     1.78468     1.80458  0.00430016
          26     1.78442     1.80381  0.00420414
          27     1.79894     1.80363   0.0040523
          28     1.78856     1.80309  0.00394313
          29     1.77828     1.80223  0.00389888
          30     1.84188     1.80356  0.00398661
          31     1.79985     1.80344   0.0038598
          32     1.80174     1.80338  0.00373954
          33     1.80183     1.80334  0.00362652
          34     1.84804     1.80465  0.00375065
          35     1.84721     1.80587  0.00383555
          36     1.80417     1.80582   0.0037293
          37     1.82131     1.80624  0.00365194
          38     1.75468     1.80488  0.00379953
          39     1.80428     1.80487  0.00370214
          40     1.79447     1.80461  0.00361869
          41     1.76785     1.80371  0.00363977
          42     1.77113     1.80293  0.00363484
          43     1.82433     1.80343  0.00358421
          44     1.85191     1.80453   0.0036682
          45     1.86422     1.80586  0.00381898
          46     1.84106     1.80663  0.00381185
          47     1.82858     1.80709  0.00375927
          48     1.82428     1.80745  0.00369796
          49     1.79542     1.80721  0.00363064
          50     1.76712      1.8064  0.00364545
          51     1.79875     1.80625  0.00357705
          52     1.84927     1.80708  0.00360267
          53     1.75571     1.80611  0.00366277
          54     1.74846     1.80504  0.00374733
          55     1.81847     1.80529  0.00368714
          56     1.74806     1.80427  0.00376024
          57     1.78457     1.80392  0.00371012
          58     1.85704     1.80484  0.00375748
          59     1.85755     1.80573  0.00379851
          60     1.89595     1.80723  0.00402181
