1,1.1003,0.0015,1.1003,0.727016,-1.26041,-0.00719482
2,0.762431,-nan,0.424566,0.610744,-0.328027,-1.07521
3,0.513436,-nan,0.0154453,0.172746,-0.201893,-0.908246
4,0.345026,-nan,-0.160202,0.167331,-0.410007,-0.989425
5,0.23609,-nan,-0.199655,0.0672487,0.0282025,-0.973217
6,0.153282,-nan,-0.260758,0.0327486,-0.528156,-0.858378
7,0.0813059,-nan,-0.350551,0.0333168,-0.667495,-0.568278
8,0.0182138,-nan,-0.423431,0.0191336,-0.756662,-0.587449
9,-0.0311167,-nan,-0.42576,0.00894086,-0.814448,-0.607427
10,-0.0649291,-nan,-0.369241,0.0352257,-0.818555,-0.613469
11,-0.0927799,-nan,-0.371288,0.0275184,-0.839697,-0.643331
12,-0.115639,-nan,-0.367095,0.0454241,-0.712987,-0.653888
13,-0.139577,-nan,-0.426823,0.00892227,-0.735755,-0.608161
14,-0.158073,-nan,-0.398519,0.0112082,-0.763647,-0.678447
15,-0.174675,-nan,-0.407105,0.0192793,-0.879529,-0.603139
16,-0.189843,-nan,-0.417373,0.0308491,-0.789585,-0.608538
17,-0.204519,-nan,-0.439334,0.00291795,-0.824348,-0.632546
18,-0.217564,-nan,-0.439318,0.00402751,-0.830806,-0.624313
19,-0.228322,-nan,-0.421966,0.0148094,-0.751089,-0.626139
20,-0.238566,-nan,-0.433217,0.0130531,-0.758395,-0.612568
21,-0.246447,-nan,-0.404058,0.0174607,-0.785066,-0.609866
22,-0.254839,-nan,-0.431078,0.00485759,-0.793759,-0.622941
23,-0.262343,-nan,-0.427417,0.0176141,-0.777933,-0.622629
24,-0.269258,-nan,-0.428319,0.0116797,-0.767508,-0.623777
25,-0.276099,-nan,-0.440267,0.00776003,-0.8072,-0.608996
26,-0.282304,-nan,-0.437435,0.00766704,-0.802394,-0.629682
27,-0.2879,-nan,-0.433394,0.0168774,-0.794213,-0.611072
28,-0.292558,-nan,-0.418321,0.0105077,-0.788514,-0.66668
29,-0.297528,-nan,-0.436707,0.00418589,-0.772376,-0.618165
30,-0.301583,-nan,-0.419151,0.0251069,-0.846532,-0.636455
